18:24:53.765 [http-nio-8080-exec-6] DEBUG com.shopme.ShopmeUserDetailsService                                                                  - Authentication user email: namhm@codejava.net
20:38:56.890 [restartedMain] INFO  org.springframework.boot.devtools.restart.ChangeableUrls                                             - The Class-Path manifest attribute in C:\Users\Nam Millionaire\.m2\repository\org\glassfish\jaxb\jaxb-runtime\2.3.2\jaxb-runtime-2.3.2.jar referenced one or more files that do not exist: file:/C:/Users/Nam%20Millionaire/.m2/repository/org/glassfish/jaxb/jaxb-runtime/2.3.2/jakarta.xml.bind-api-2.3.2.jar,file:/C:/Users/Nam%20Millionaire/.m2/repository/org/glassfish/jaxb/jaxb-runtime/2.3.2/txw2-2.3.2.jar,file:/C:/Users/Nam%20Millionaire/.m2/repository/org/glassfish/jaxb/jaxb-runtime/2.3.2/istack-commons-runtime-3.0.8.jar,file:/C:/Users/Nam%20Millionaire/.m2/repository/org/glassfish/jaxb/jaxb-runtime/2.3.2/stax-ex-1.8.1.jar,file:/C:/Users/Nam%20Millionaire/.m2/repository/org/glassfish/jaxb/jaxb-runtime/2.3.2/FastInfoset-1.2.16.jar,file:/C:/Users/Nam%20Millionaire/.m2/repository/org/glassfish/jaxb/jaxb-runtime/2.3.2/jakarta.activation-api-1.2.1.jar
20:38:56.891 [restartedMain] INFO  org.springframework.boot.devtools.env.DevToolsPropertyDefaultsPostProcessor                          - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
20:38:56.891 [restartedMain] INFO  org.springframework.boot.devtools.env.DevToolsPropertyDefaultsPostProcessor                          - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
20:38:57.811 [restartedMain] INFO  org.springframework.data.repository.config.RepositoryConfigurationDelegate                           - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
20:38:57.921 [restartedMain] INFO  org.springframework.data.repository.config.RepositoryConfigurationDelegate                           - Finished Spring Data repository scanning in 99ms. Found 5 JPA repository interfaces.
20:38:58.729 [restartedMain] INFO  org.springframework.boot.web.embedded.tomcat.TomcatWebServer                                         - Tomcat initialized with port(s): 8080 (http)
20:38:58.738 [restartedMain] INFO  org.apache.coyote.http11.Http11NioProtocol                                                           - Initializing ProtocolHandler ["http-nio-8080"]
20:38:58.739 [restartedMain] INFO  org.apache.catalina.core.StandardService                                                             - Starting service [Tomcat]
20:38:58.739 [restartedMain] INFO  org.apache.catalina.core.StandardEngine                                                              - Starting Servlet engine: [Apache Tomcat/9.0.33]
20:38:58.853 [restartedMain] INFO  org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/ShopmeAdmin]                           - Initializing Spring embedded WebApplicationContext
20:38:58.854 [restartedMain] INFO  org.springframework.web.context.ContextLoader                                                        - Root WebApplicationContext: initialization completed in 1963 ms
20:38:58.919 [restartedMain] INFO  com.zaxxer.hikari.HikariDataSource                                                                   - HikariPool-1 - Starting...
20:38:59.566 [restartedMain] INFO  com.zaxxer.hikari.HikariDataSource                                                                   - HikariPool-1 - Start completed.
20:38:59.573 [restartedMain] INFO  org.springframework.boot.autoconfigure.h2.H2ConsoleAutoConfiguration                                 - H2 console available at '/h2-console'. Database available at 'jdbc:mysql://localhost:3306/shopmedb'
20:38:59.649 [restartedMain] WARN  org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/ShopmeAdmin]                           - Cannot deserialize session attribute [SPRING_SECURITY_CONTEXT] for session [31D1C83137A618D4DA2650BBC1FDE610]
20:38:59.793 [restartedMain] INFO  org.hibernate.jpa.internal.util.LogHelper                                                            - HHH000204: Processing PersistenceUnitInfo [name: default]
20:38:59.878 [restartedMain] INFO  org.hibernate.Version                                                                                - HHH000412: Hibernate ORM core version 5.4.12.Final
20:39:00.029 [restartedMain] INFO  org.hibernate.annotations.common.Version                                                             - HCANN000001: Hibernate Commons Annotations {5.1.0.Final}
20:39:00.165 [restartedMain] INFO  org.hibernate.dialect.Dialect                                                                        - HHH000400: Using dialect: org.hibernate.dialect.MySQL8Dialect
20:39:01.091 [restartedMain] INFO  org.hibernate.engine.transaction.jta.platform.internal.JtaPlatformInitiator                          - HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
20:39:01.101 [restartedMain] INFO  org.springframework.orm.jpa.LocalContainerEntityManagerFactoryBean                                   - Initialized JPA EntityManagerFactory for persistence unit 'default'
20:39:01.174 [restartedMain] WARN  org.springframework.boot.autoconfigure.orm.jpa.JpaBaseConfiguration$JpaWebConfiguration              - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
20:39:01.940 [restartedMain] INFO  org.springframework.security.web.DefaultSecurityFilterChain                                          - Creating filter chain: any request, [org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@51395984, org.springframework.security.web.context.SecurityContextPersistenceFilter@1ec3a606, org.springframework.security.web.header.HeaderWriterFilter@4bcbfd82, org.springframework.security.web.csrf.CsrfFilter@6d046af7, org.springframework.security.web.authentication.logout.LogoutFilter@68e2e0e, org.springframework.security.web.authentication.UsernamePasswordAuthenticationFilter@44cc84ad, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@7e25b205, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@d54327c, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@42558579, org.springframework.security.web.session.SessionManagementFilter@439bb1b5, org.springframework.security.web.access.ExceptionTranslationFilter@180b500, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@540e9231]
20:39:02.113 [restartedMain] INFO  org.springframework.scheduling.concurrent.ThreadPoolTaskExecutor                                     - Initializing ExecutorService 'applicationTaskExecutor'
20:39:02.192 [restartedMain] INFO  org.springframework.boot.autoconfigure.web.servlet.WelcomePageHandlerMapping                         - Adding welcome page template: index
20:39:02.677 [restartedMain] INFO  org.springframework.boot.devtools.autoconfigure.OptionalLiveReloadServer                             - LiveReload server is running on port 35729
20:39:02.722 [restartedMain] INFO  org.apache.coyote.http11.Http11NioProtocol                                                           - Starting ProtocolHandler ["http-nio-8080"]
20:39:02.754 [restartedMain] INFO  org.springframework.boot.web.embedded.tomcat.TomcatWebServer                                         - Tomcat started on port(s): 8080 (http) with context path '/ShopmeAdmin'
